1754104131,-0.02542,0.05472,-0.00030,0.74992,-0.66067,-0.02008,0.02706,-0.20124,0.08497,-0.19854,
1754104131,-0.03052,0.06747,-0.00695,0.73316,-0.67957,-0.02020,0.01613,-0.23488,0.06176,-0.23997,
1754104131,-0.03802,0.07516,-0.01885,0.70302,-0.71055,-0.02874,0.00712,-0.24182,0.05460,-0.26921,
1754104131,-0.04137,0.07540,-0.03333,0.66631,-0.74447,-0.04234,0.00149,-0.22481,-0.02447,-0.33812,
1754104131,-0.04192,0.06780,-0.04815,0.64711,-0.76014,-0.05855,-0.00263,-0.18709,-0.10548,-0.35979,
1754104131,-0.04118,0.06170,-0.06442,0.64027,-0.76436,-0.07605,-0.00596,-0.13369,-0.13085,-0.35063,
1754104131,-0.03861,0.05233,-0.08043,0.64978,-0.75499,-0.08817,-0.00123,-0.07124,-0.16086,-0.36487,
1754104131,-0.04195,0.04936,-0.09204,0.68272,-0.72452,-0.09427,0.00837,-0.03751,-0.15285,-0.34816,
1754104131,-0.03810,0.03883,-0.10582,0.73820,-0.66779,-0.09270,0.02288,0.03780,-0.18929,-0.38173,
1754104131,-0.03393,0.03157,-0.11969,0.78486,-0.61299,-0.08449,0.03314,0.09649,-0.17974,-0.41830,
1754104131,-0.02740,0.02293,-0.13497,0.82867,-0.55443,-0.06804,0.03575,0.13934,-0.20767,-0.46349,
1754104131,-0.01917,0.01274,-0.15029,0.86052,-0.50568,-0.05459,0.02841,0.16381,-0.26490,-0.51612,
1754104132,-0.01207,0.00245,-0.16673,0.88330,-0.46675,-0.04218,0.01220,0.14681,-0.32474,-0.54799,
1754104132,-0.00542,-0.00940,-0.18376,0.90101,-0.43312,-0.02327,-0.00713,0.14166,-0.37441,-0.57809,
1754104132,0.00141,-0.02336,-0.20292,0.90891,-0.41575,-0.01328,-0.02910,0.14801,-0.41672,-0.66274,
1754104132,0.01496,-0.05465,-0.24800,0.91574,-0.39589,-0.01706,-0.06625,0.15834,-0.50019,-0.76211,
1754104132,0.02437,-0.07612,-0.27135,0.90688,-0.41274,-0.02178,-0.08213,0.17056,-0.52944,-0.72952,
1754104132,0.04214,-0.11458,-0.31730,0.81615,-0.57053,0.00525,-0.09147,0.21232,-0.62602,-0.66040,
1754104132,0.05570,-0.13091,-0.34060,0.76682,-0.63780,0.02197,-0.06870,0.23040,-0.72305,-0.63142,
1754104132,0.06789,-0.18546,-0.38609,0.68963,-0.72414,0.00578,-0.00092,0.17175,-0.95730,-0.69164,
1754104132,0.07109,-0.21981,-0.40836,0.65972,-0.75018,-0.01904,0.04041,0.16088,-1.06229,-0.68563,
1754104142,0.00547,0.00038,0.00828,0.78047,-0.62355,-0.02106,-0.04010,0.07851,-0.08592,-0.09065,
1754104142,0.00781,-0.00557,0.00393,0.77731,-0.62718,-0.03030,-0.03898,0.01621,-0.08001,-0.14747,
1754104142,0.00671,-0.00775,-0.00118,0.77773,-0.62577,-0.04099,-0.04326,-0.05691,-0.05818,-0.16772,
1754104142,0.00468,-0.00748,-0.00680,0.77604,-0.62525,-0.06862,-0.04602,-0.00410,-0.00457,-0.08336,
1754104142,0.00435,-0.00854,-0.00861,0.77144,-0.63161,-0.07034,-0.03159,-0.01324,-0.08413,-0.16152,
1754104143,0.00653,-0.01222,-0.00763,0.76945,-0.63288,-0.07904,-0.03400,0.00576,-0.04857,0.03141,
1754104143,0.00598,-0.01021,-0.00076,0.75803,-0.64754,-0.07241,-0.02899,-0.06610,-0.04396,0.04271,
1754104143,0.00325,-0.01151,0.00764,0.75808,-0.64968,-0.05671,0.00223,-0.08542,-0.03536,0.06393,
1754104143,0.00147,-0.01371,0.00853,0.75242,-0.65671,-0.05096,-0.00053,-0.06093,-0.06687,0.05424,
1754104143,0.00169,-0.01914,0.01404,0.74469,-0.66644,-0.00103,0.03596,-0.01904,-0.04419,0.10987,
1754104143,-0.00021,-0.02090,0.01793,0.74352,-0.66734,0.00296,0.04275,-0.07233,-0.03530,0.13635,
1754104143,-0.00219,-0.02120,0.02783,0.74468,-0.66593,0.00728,0.04391,-0.00144,0.03750,0.19813,
1754104143,-0.00099,-0.01803,0.03539,0.74448,-0.66620,0.01114,0.04242,0.02211,0.08804,0.28704,
1754104143,0.00051,-0.00894,0.06020,0.73697,-0.67393,0.01131,0.05059,0.02489,0.19748,0.43869,
1754104143,0.00136,0.00045,0.07498,0.71702,-0.69479,0.00659,0.05575,0.01887,0.28371,0.46522,
1754104143,0.00027,0.02003,0.10991,0.70857,-0.70168,0.00101,0.07464,0.01989,0.36490,0.53483,
1754104143,-0.00136,0.03324,0.13016,0.70746,-0.70254,-0.00355,0.07691,0.04255,0.42297,0.63414,
1754104143,-0.00110,0.06361,0.17831,0.71542,-0.69313,-0.01616,0.08655,0.04424,0.47485,0.80409,
1754104143,0.00168,0.07988,0.20751,0.72137,-0.68659,-0.02379,0.08747,0.12451,0.48850,0.93665,
1754104143,0.01281,0.11014,0.27324,0.73610,-0.67229,-0.03202,0.07180,0.24875,0.44225,1.00982,
