1754104131484248320,-0.01744,0.01223,-0.14894,0.85945,-0.50755,-0.05380,0.02895,
1754104131517588480,-0.01030,0.00226,-0.16533,0.88214,-0.46895,-0.04199,0.01236,
1754104131550928384,-0.00355,-0.01017,-0.18225,0.89963,-0.43598,-0.02314,-0.00709,
1754104131584268288,0.00408,-0.02395,-0.20078,0.90719,-0.41950,-0.01328,-0.02927,
1754104131650947840,0.01865,-0.05864,-0.24632,0.91431,-0.39913,-0.01753,-0.06661,
1754104131684287232,0.02859,-0.07762,-0.27097,0.90436,-0.41811,-0.02234,-0.08253,
1754104131750965760,0.04793,-0.10886,-0.31876,0.80757,-0.58268,0.00631,-0.09101,
1754104131784304896,0.05463,-0.12961,-0.34122,0.76032,-0.64549,0.02208,-0.06903,
1754104131850992896,0.06587,-0.18613,-0.38543,0.68451,-0.72898,0.00560,-0.00170,
1754104142257146368,0.00333,0.00271,0.01070,0.78576,-0.61689,-0.01843,-0.04110,
1754104142357318912,0.01134,-0.00585,0.00042,0.77977,-0.62466,-0.02376,-0.03457,
1754104142390710272,0.01116,-0.00674,-0.00350,0.77344,-0.63116,-0.04066,-0.04207,
1754104142457495296,0.00977,-0.00788,-0.00958,0.77238,-0.62946,-0.07089,-0.04672,
1754104142557675520,0.01150,-0.00966,-0.00805,0.75373,-0.64875,-0.09494,-0.04470,
1754104142591069952,0.01195,-0.00946,-0.00437,0.75193,-0.65375,-0.07814,-0.03338,
1754104142657859840,0.01025,-0.01281,0.00050,0.75695,-0.65103,-0.05645,0.00245,
1754104142758048000,0.00861,-0.02032,0.00666,0.74392,-0.66725,0.00001,0.03679,
1754104142891638528,0.00641,-0.01853,0.02773,0.74552,-0.66516,0.00915,0.04087,
1754104142991705344,0.00696,-0.00160,0.06660,0.71892,-0.69289,0.00527,0.05506,
1754104143058402816,0.00641,0.01914,0.10178,0.71015,-0.70031,-0.00182,0.07248,
1754104143158448128,0.00798,0.06252,0.16878,0.71552,-0.69305,-0.01643,0.08630,
1754104143191796480,0.01021,0.07749,0.19729,0.72187,-0.68609,-0.02464,0.08701,
1754104143258492928,0.02478,0.11181,0.26306,0.73359,-0.67512,-0.03101,0.07145,
1754104143291841024,0.03673,0.12809,0.29740,0.73691,-0.67261,-0.03118,0.05988,
1754104143358536960,0.05896,0.14894,0.36949,0.74240,-0.66821,-0.03126,0.03676,
1754104143391884800,0.06927,0.15326,0.40488,0.74444,-0.66636,-0.03071,0.02864,
1754104143458579968,0.08220,0.14935,0.47132,0.74377,-0.66756,-0.02864,0.01859,
1754104143558622720,0.09583,0.14393,0.57371,0.73648,-0.67588,-0.02243,0.01666,
1754104143658664192,0.10160,0.12834,0.68079,0.73345,-0.67912,-0.02094,0.02031,
1754104143758705152,0.10102,0.09569,0.78547,0.72033,-0.69249,-0.01443,0.03710,
1754104143858745344,0.10213,0.05716,0.89655,0.71426,-0.69849,-0.01712,0.04069,
1754104143958792448,0.10528,0.01346,1.00212,0.70783,-0.70501,-0.02046,0.03907,
1754104144058845696,0.11243,-0.03555,1.08896,0.70733,-0.70517,-0.02813,0.04037,
1754104144158898432,0.12413,-0.08388,1.15165,0.70562,-0.70679,-0.03501,0.03645,
1754104144258950656,0.14303,-0.12843,1.19506,0.71005,-0.70267,-0.03857,0.02440,
1754104144359002112,0.16535,-0.16309,1.22049,0.71545,-0.69719,-0.04258,0.01590,
1754104144559104000,0.19847,-0.21873,1.24650,0.72487,-0.68585,-0.06349,0.01192,
1754104144592454144,0.20293,-0.22649,1.25064,0.73136,-0.67855,-0.06736,0.01170,
1754104144659153920,0.21180,-0.23399,1.25610,0.73815,-0.67056,-0.07263,0.01438,
1754104144759203584,0.22685,-0.24974,1.26365,0.74863,-0.65784,-0.07586,0.03236,
1754104144859252480,0.24897,-0.25893,1.27212,0.75615,-0.64822,-0.08160,0.03735,
1754104144959301888,0.27663,-0.26409,1.27772,0.76254,-0.64131,-0.07860,0.03273,
1754104145092701440,0.30883,-0.26574,1.27407,0.76108,-0.64395,-0.07165,0.03071,
1754104145192750336,0.32908,-0.26805,1.26842,0.75926,-0.64721,-0.06028,0.03173,
